accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.5416666865348816,0.5642380118370056,0.8402554988861084,0.520370364189148,0.5304046869277954,0.7602263689041138,9.999999747378752e-05
0.628125011920929,0.6777015924453735,0.6911060214042664,0.5314815044403076,0.5490397810935974,0.7741683125495911,9.999999747378752e-05
0.6822916865348816,0.7432577013969421,0.6119486689567566,0.5370370149612427,0.5489711761474609,0.8060703873634338,9.999999747378752e-05
0.6968749761581421,0.7800294160842896,0.565864086151123,0.5407407283782959,0.5604251623153687,0.8099440336227417,9.999999747378752e-05
0.7423611283302307,0.827116847038269,0.5067970752716064,0.5407407283782959,0.5619890093803406,0.8165313005447388,9.999999747378752e-05
0.7704861164093018,0.8533104658126831,0.4755074083805084,0.5388888716697693,0.5582167506217957,0.8186430931091309,9.999999747378752e-05
0.8045138716697693,0.8896487355232239,0.4270174205303192,0.5388888716697693,0.5662689208984375,0.8246262669563293,9.999999747378752e-05
0.8225694298744202,0.9091811776161194,0.39828750491142273,0.5574073791503906,0.5715774893760681,0.831682562828064,9.999999747378752e-05
0.8409722447395325,0.9232772588729858,0.37390390038490295,0.5666666626930237,0.5720782279968262,0.8464905023574829,9.999999747378752e-05
0.8621527552604675,0.938775897026062,0.343213826417923,0.5518518686294556,0.5696021318435669,0.8472402095794678,9.999999747378752e-05
0.8677083253860474,0.9450377225875854,0.3279117941856384,0.5518518686294556,0.5704457759857178,0.8642048835754395,9.999999747378752e-05
0.8986111283302307,0.962087869644165,0.29744774103164673,0.5425925850868225,0.5578874945640564,0.8952674865722656,4.999999873689376e-05
0.9027777910232544,0.9704291224479675,0.27529603242874146,0.5555555820465088,0.5604252219200134,0.8933863043785095,4.999999873689376e-05
0.9170138835906982,0.9760692119598389,0.2605242431163788,0.5592592358589172,0.560596764087677,0.8974419832229614,2.499999936844688e-05
